Plot ID,   PPW1308,,Sampler(s),"MNB, MFO",,,,,Date ,20130213,,
Notes,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
B4,TR,1248,QUEDEC,0,,,,,44.15,139,205,
B4,TR,1249,QUEDEC,0,,,,,44.3,271,239,
B3,TR,1250,QUEDEC,0,,,,,37,327,279,
B3,TR,1251,QUEDEC,0,,,,,19.9,267,249,
B2,TR,1252,QUEDEC,0,,,,,22.2,22,15,
B2,TR,1253,QUEDEC,0,,,,,29.4,369,36,
B2,TR,1253.1,QUEDEC,0,,,,,21.1,369,36,
B2,TR,1253.2,QUEDEC,0,,,,,26.4,369,36,
C1,TR,1254,QUEDEC,0,,,,,29.4,153,398,
C1,TR,1254.1,QUEDEC,0,,,,,17.75,153,398,
C2,TR,1255,QUEDEC,0,,,,,21.95,205,137,
D4,TR,1256,QUEDEC,0,,,,,28.1,361,438,
D2,TR,1257,QUEDEC,0,,,,,21.3,72,17
