Plot ID,1326,,Sampler(s),"MO, GH, MF",,,,,Date ,20190710,,,,,,,,,
Notes,PAGE 4 OF 6: UMBCALS WITH 1 FOR SURVIVED & OG NOT DEAD NOTE CHECK 2018 DATA / PAGE 6 OF 6: TAG 3661 TAG PULLED,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3514,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A1,TR,3504,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,
A1,TR,3505,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A1,TR,3512,,,PSEMEN,1,0,0,1,1,,,,15.3,,,,,
A1,SA,3511,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
A1,SA,3501,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A1,TR,3397,,,PSEMEN,1,0,0,1,2,,,,17.4,,,,,
A1,TR,3400,,,PSEMEN,1,0,0,1,2,,,,13.7,,,,,
A1,TR,3543,,,UMBCAL,0,1,0,0,0,,,,NA,NA,0,,,
A1,SA,3513,,,UMBCAL,1,0,,,,115,1.37,0,,,,,,SOD
B1,TR,3586,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
B1,SA,3590,,,UMBCAL,1,0,,,,87.5,0.58,0,,,,,,"BDSPT, OG DEAD"
B1,TR,3592,,,PSEMEN,1,0,0,1,2,,,,22.4,,,,,
B1,TR,3593,,,PSEMEN,1,0,0,1,1,,,,12.9,,,,,
B1,SA,3595,,,UMBCAL,1,0,,,,84.5,0.51,0,,,,,,BDBPT. OG DEAD
B1,TR,3591,,,PSEMEN,0,0,0,0,0,,,,8.6,,,,,
B1,SA,3577,,,UMBCAL,1,0,,,,104.7,0.66,1,,,,,,"BDSPRT, OG DEAD"
B1,SA,3575,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
B1,SA,3585,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,NOT ON LIST
B1,SA,3576,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,3578,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
B1,SA,3579,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
B1,SA,3581,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C1,TR,3599,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,
C1,SA,3660,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C1,TR,3600,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
C1,TR,3596,,,UMBCAL,0,1,0,0,0,,,,NA,157.2,1,,,
C1,TR,3601,,,PSEMEN,1,1,0,1,3,,,,20,,,,,
C1,TR,3604,,,UMBCAL,0,1,0,0,0,,,,,77.1,3,,,
C1,SA,3629,,,UMBCAL,1,0,,,,94.2,0.92,0,,,,,,"BDBSPT, OG DEAD"
C1,TR,3632,,,PSEMEN,1,0,0,1,4,,,,29.4,,,,,DBH WRONG IN 18
C1,SA,3630,,,UMBCAL,1,0,,,,61.4,0.53,0,,,,,,"BDBSPT, OG DEAD"
C1,SA,5661,,,UMBCAL,1,0,,,,74.1,0.51,0,,,,,,"BDBSPT, OG DEAD"
C1,SA,5662,,,UMBCAL,1,0,,,,84,0.59,1,,,,,,"BDBSPT, OG DEAD"
C1,SA,3408,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C1,SA,3608,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C1,SA,3607,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C1,SA,3610,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C1,SA,3598,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C1,SA,3606,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C1,SA,3613,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C1,SA,3614,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C1,SA,3631,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D1,TR,3652,,,UMBCAL,0,1,0,0,0,,,,NA,78.9,5,,,
D1,TR,3406,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D1,TR,3407,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,deleted a second row labeled 3470- mkqc2022
D1,TR,3405,,,UMBCAL,0,1,0,0,0,,,,NA,85.3,2,,,
D1,SA,3402,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D1,TR,3700,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
D1,TR,3401,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
D1,SA,3663,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
D1,SA,3403,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D1,SA,3404,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D1,SA,3661,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D1,SA,3662,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D1,SA,6468,70,275,BACPIL,1,0,,,,51.2,0.31,1,,,,,,NEW SA
D2,TR,3698,,,QUEGAR,1,0,1,1,4,,,,45.5,,,,,
D2,SA,3687,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
D2,TR,3699,,,PSEMEN,1,0,0,1,2,,,,15,,,,,
D2,SA,3685,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,TR,3410,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,SA,3690,,,UMBCAL,1,0,,,,106.6,0.62,7,,,,,,BDBSPT
D2,TR,3697,,,PSEMEN,1,0,0,1,3,,,,20.5,,,,,
D2,SA,3653,,,UMBCAL,1,0,,,,72.6,0.56,5,,,,,,BDBSPT
D2,SA,3681,,,UMBCAL,1,0,,,,96.6,0.74,3,,,,,,BDBSPT
D2,SA,3682,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
D2,SA,5653,,,UMBCAL,1,0,,,,19.5,0.23,0,,,,,,BDBSPT
D2,SA,3689,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C2,SA,3620,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C2,SA,3622,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C2,SA,3621,,,UMBCAL,1,0,,,,65.7,0.52,1,,,,,,BDSPT
C2,TR,3636,,,UMBCAL,1,1,1,1,4,,,,37.2,292,20,,,
C2,TR,3654,,,PSEMEN,0,0,0,0,0,,,,9.7,,,,,
C2,SA,3625,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C2,SA,3637,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C3,TR,3655,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
C3,TR,3656,,,PSEMEN,1,0,0,1,2,,,,13.7,,,,,
C3,SA,3658,475,360,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
D3,TR,3695,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
